citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
65 FR 49469, 00-20670,49470,https://www.federalregister.gov/documents/2000/08/14/00-20670/creation-of-the-white-house-task-force-on-drug-use-in-sports-and-authorization-for-the-director-of,https://www.govinfo.gov/content/pkg/FR-2000-08-14/pdf/00-20670.pdf,Presidential Document,Executive Order,08/14/2000,08/09/2000,49469,Creation of the White House Task Force on Drug Use in Sports and Authorization for the Director of the Office of National Drug Control Policy To Serve as the United States Government's Representative on the Board of the World Anti-Doping Agency,"Amended by: EO 13286, February 28, 2003",13165
65 FR 46563, 00-19322,46564,https://www.federalregister.gov/documents/2000/07/28/00-19322/increasing-the-opportunity-for-individuals-with-disabilities-to-be-employed-in-the-federal,https://www.govinfo.gov/content/pkg/FR-2000-07-28/pdf/00-19322.pdf,Presidential Document,Executive Order,07/28/2000,07/26/2000,46561,Increasing the Opportunity for Individuals With Disabilities To Be Employed in the Federal Government,"See: EO 13548, July 26, 2010; EO 13583, August 18, 2011",13163
65 FR 46565, 00-19323,46566,https://www.federalregister.gov/documents/2000/07/28/00-19323/requiring-federal-agencies-to-establish-procedures-to-facilitate-the-provision-of-reasonable,https://www.govinfo.gov/content/pkg/FR-2000-07-28/pdf/00-19323.pdf,Presidential Document,Executive Order,07/28/2000,07/26/2000,46565,Requiring Federal Agencies To Establish Procedures To Facilitate the Provision of Reasonable Accommodation,"",13164
65 FR 43211, 00-17829,43212,https://www.federalregister.gov/documents/2000/07/12/00-17829/federal-career-intern-program,https://www.govinfo.gov/content/pkg/FR-2000-07-12/pdf/00-17829.pdf,Presidential Document,Executive Order,07/12/2000,07/06/2000,43209,Federal Career Intern Program,"Revokes: EO 12596, May 7, 1987;;
 ;  Revoked by: EO 13562, December 27, 2010",13162
65 FR 41543, 00-17174,41543,https://www.federalregister.gov/documents/2000/07/05/00-17174/establishment-of-the-presidential-medal-of-valor-for-public-safety-officers,https://www.govinfo.gov/content/pkg/FR-2000-07-05/pdf/00-17174.pdf,Presidential Document,Executive Order,07/05/2000,06/29/2000,41541,Establishment of the Presidential Medal of Valor for Public Safety Officers,"",13161
65 FR 39775, 00-16434,39778,https://www.federalregister.gov/documents/2000/06/27/00-16434/nondiscrimination-on-the-basis-of-race-sex-color-national-origin-disability-religion-age-sexual,https://www.govinfo.gov/content/pkg/FR-2000-06-27/pdf/00-16434.pdf,Presidential Document,Executive Order,06/27/2000,06/23/2000,39775,"Nondiscrimination on the Basis of Race, Sex, Color, National Origin, Disability, Religion, Age, Sexual Orientation, and Status as a Parent in Federally Conducted Education and Training Programs","See:  EO 12250, November 2, 1980",13160
65 FR 39279, 00-16252,39280,https://www.federalregister.gov/documents/2000/06/26/00-16252/blocking-property-of-the-government-of-the-russian-federation-relating-to-the-disposition-of-highly,https://www.govinfo.gov/content/pkg/FR-2000-06-26/pdf/00-16252.pdf,Presidential Document,Executive Order,06/26/2000,06/21/2000,39279,Blocking Property of the Government of the Russian Federation Relating to the Disposition of Highly Enriched Uranium Extracted From Nuclear Weapons,"See:  EO 12938, November 14, 1994; EO 13085, May 26, 1998; Notice of June 18, 2002; Notice of June 10, 2003; Notice of June 16, 2004; Notice of June 17, 2005; Notice of June 19, 2006; Notice of June 19, 2007; Notice of June 18, 2008; Notice of June 18, 2009; Notice of June 17, 2010",13159
65 FR 34909, 00-13830,34911,https://www.federalregister.gov/documents/2000/05/31/00-13830/marine-protected-areas,https://www.govinfo.gov/content/pkg/FR-2000-05-31/pdf/00-13830.pdf,Presidential Document,Executive Order,05/31/2000,05/26/2000,34909,Marine Protected Areas,"See:  Proc. 5030, March 10, 1983; Proc. 5928, December 27, 1988; Proc. 7219, September 2, 1999; EO 13178, December 4, 2000
Continued by:  EO 13708, September 30, 2015; EO 13811, September 29, 2017",13158
65 FR 34035, 00-13367,34037,https://www.federalregister.gov/documents/2000/05/25/00-13367/increasing-opportunities-for-women-owned-small-businesses,https://www.govinfo.gov/content/pkg/FR-2000-05-25/pdf/00-13367.pdf,Presidential Document,Executive Order,05/25/2000,05/23/2000,34033,Increasing Opportunities for Women-Owned Small Businesses,"",13157
65 FR 31785, 00-12840,31785,https://www.federalregister.gov/documents/2000/05/19/00-12840/amendment-to-executive-order-12871-regarding-the-national-partnership-council,https://www.govinfo.gov/content/pkg/FR-2000-05-19/pdf/00-12840.pdf,Presidential Document,Executive Order,05/19/2000,05/17/2000,31785,Amendment to Executive Order 12871 Regarding the National Partnership Council,"Amends:  EO 12871, October 1, 1993;;
 ;  See:  EO 12983, December 21, 1995; EO 13203, February 17, 2001",13156
65 FR 30521, 00-12177,30523,https://www.federalregister.gov/documents/2000/05/12/00-12177/access-to-hivaids-pharmaceuticals-and-medical,https://www.govinfo.gov/content/pkg/FR-2000-05-12/pdf/00-12177.pdf,Presidential Document,Executive Order,05/12/2000,05/10/2000,30521,Access to HIV/AIDS Pharmaceuticals and Medical,"",13155
65 FR 26475, 00-11531,26477,https://www.federalregister.gov/documents/2000/05/05/00-11531/actions-to-improve-low-performing-schools,https://www.govinfo.gov/content/pkg/FR-2000-05-05/pdf/00-11531.pdf,Presidential Document,Executive Order,05/05/2000,05/03/2000,26473,Actions To Improve Low-Performing Schools,"",13153
65 FR 26479, 00-11532,26479,https://www.federalregister.gov/documents/2000/05/05/00-11532/establishing-the-kosovo-campaign-medal,https://www.govinfo.gov/content/pkg/FR-2000-05-05/pdf/00-11532.pdf,Presidential Document,Executive Order,05/05/2000,05/03/2000,26479,Establishing the Kosovo Campaign Medal,"Amended by: EO 13286, February 28, 2003;;
 ;  See:  EO 10977, December 4, 1961; EO 12985, January 11, 1996",13154
65 FR 26115, 00-11336,26115,https://www.federalregister.gov/documents/2000/05/04/00-11336/further-amendment-to-executive-order-11478-equal-employment-opportunity-in-federal-government,https://www.govinfo.gov/content/pkg/FR-2000-05-04/pdf/00-11336.pdf,Presidential Document,Executive Order,05/04/2000,05/02/2000,26115,"Further Amendment to Executive Order 11478, Equal Employment Opportunity in Federal Government","Amends:  EO 11478, August 8, 1969;;
 ;  Note: This Executive order expands equal employment policy in the Federal Government by prohibiting discrimination based on parental status.",13152
65 FR 25619, 00-11070,25621,https://www.federalregister.gov/documents/2000/05/02/00-11070/global-disaster-information-network,https://www.govinfo.gov/content/pkg/FR-2000-05-02/pdf/00-11070.pdf,Presidential Document,Executive Order,05/02/2000,04/27/2000,25617,Global Disaster Information Network,"Amended by: EO 13284, January 23, 2003",13151
65 FR 24595, 00-10550,24606,https://www.federalregister.gov/documents/2000/04/26/00-10550/greening-the-government-through-leadership-in,https://www.govinfo.gov/content/pkg/FR-2000-04-26/pdf/00-10550.pdf,Presidential Document,Executive Order,04/26/2000,04/21/2000,24593,Greening the Government Through Leadership in,"Revokes: EO 12088, October 13, 1978 (in part); EO 12843, April 21, 1993; EO 12856, August 3, 1993; EO 12969, August 8, 1995; Memorandum of April 26, 1994;;
 ;  Revoked by: EO 13423, January 24, 2007;;
 ;  See:  EO 13101, September 14, 1998; EO 13123, June 3, 1999; EO 13134, August 12, 1999",13148
65 FR 24607, 00-10551,24611,https://www.federalregister.gov/documents/2000/04/26/00-10551/greening-the-government-through-federal-fleet-and,https://www.govinfo.gov/content/pkg/FR-2000-04-26/pdf/00-10551.pdf,Presidential Document,Executive Order,04/26/2000,04/21/2000,24607,Greening the Government Through Federal Fleet and,"Revokes: EO 13031, December 13, 1996;;
 ;  Revoked by: EO 13423, January 24, 2007;;
 ;  See:  EO 13101, September 14, 1998; Proc. 7308, May 15, 2000 (65 FR 31783)",13149
65 FR 24613, 00-10552,24614,https://www.federalregister.gov/documents/2000/04/26/00-10552/federal-workforce-transportation,https://www.govinfo.gov/content/pkg/FR-2000-04-26/pdf/00-10552.pdf,Presidential Document,Executive Order,04/26/2000,04/21/2000,24613,Federal Workforce Transportation,"",13150
65 FR 13233, 00-6126,13234,https://www.federalregister.gov/documents/2000/03/10/00-6126/white-house-commission-on-complementary-and-alternative-medicine-policy,https://www.govinfo.gov/content/pkg/FR-2000-03-10/pdf/00-6126.pdf,Presidential Document,Executive Order,03/10/2000,03/07/2000,13231,White House Commission on Complementary and Alternative Medicine Policy,"Amended by: EO 13167, September 15, 2000;;
 ;  Revoked by: EO 13316, September 17, 2003",13147
65 FR 11201, 00-5209,11202,https://www.federalregister.gov/documents/2000/03/02/00-5209/presidents-council-on-the-future-of-princeville-north-carolina,https://www.govinfo.gov/content/pkg/FR-2000-03-02/pdf/00-5209.pdf,Presidential Document,Executive Order,03/02/2000,02/29/2000,11201,"President's Council on the Future of Princeville, North Carolina","",13146
65 FR 6877, 00-3331,6880,https://www.federalregister.gov/documents/2000/02/10/00-3331/to-prohibit-discrimination-in-federal-employment-based-on-genetic-information,https://www.govinfo.gov/content/pkg/FR-2000-02-10/pdf/00-3331.pdf,Presidential Document,Executive Order,02/10/2000,02/08/2000,6875,To Prohibit Discrimination in Federal Employment Based on Genetic Information,"",13145
64 FR 72237, 99-33511,72247,https://www.federalregister.gov/documents/1999/12/23/99-33511/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-1999-12-23/pdf/99-33511.pdf,Presidential Document,Executive Order,12/23/1999,12/21/1999,72237,Adjustments of Certain Rates of Pay,"Supersedes: EO 13106, December 7, 1998 (in part);;
 ;  Superseded by: EO 13182, December 23, 2000",13144
64 FR 68273, 99-31748,68273,https://www.federalregister.gov/documents/1999/12/06/99-31748/amending-executive-order-10173-as-amended-prescribing-regulations-relating-to-the-safeguarding-of,https://www.govinfo.gov/content/pkg/FR-1999-12-06/pdf/99-31748.pdf,Presidential Document,Executive Order,12/06/1999,12/01/1999,68273,"Amending Executive Order 10173, as Amended, Prescribing Regulations Relating to the Safeguarding of Vessels, Harbors, Ports, and Waterfront Facilities of the United States","Amends: EO 10173, October 18, 1950",13143
64 FR 66089, 99-30687,66090,https://www.federalregister.gov/documents/1999/11/23/99-30687/amendment-to-executive-order-12958classified-national-security-information,https://www.govinfo.gov/content/pkg/FR-1999-11-23/pdf/99-30687.pdf,Presidential Document,Executive Order,11/23/1999,11/19/1999,66089,Amendment To Executive Order 12958Classified National Security Information,"Amends: EO 12958, April 17, 1995",13142
64 FR 63169, 99-30346,63170,https://www.federalregister.gov/documents/1999/11/18/99-30346/environmental-review-of-trade-agreements,https://www.govinfo.gov/content/pkg/FR-1999-11-18/pdf/99-30346.pdf,Presidential Document,Executive Order,11/18/1999,11/16/1999,63169,Environmental Review of Trade Agreements,"",13141
64 FR 55115, 99-26670,55123,https://www.federalregister.gov/documents/1999/10/12/99-26670/1999-amendments-to-the-manual-for-courts-martial-united-states,https://www.govinfo.gov/content/pkg/FR-1999-10-12/pdf/99-26670.pdf,Presidential Document,Executive Order,10/12/1999,10/06/1999,55115,"1999 Amendments to the Manual for Courts-Martial, United States","Amends: EO 12473, April 13, 1984;;
 ;  See: EO 12484, July 13, 1984; EO 12550, February 19, 1986; EO 12586, March 3, 1987; EO 12708, March 23, 1990; EO 12767, June 27, 1991; EO 12888, December 23, 1993; EO 12936, November 10, 1994; EO 12960, May 12, 1995; EO 13086, May 27, 1998",13140
64 FR 54175, 99-26078,54178,https://www.federalregister.gov/documents/1999/10/05/99-26078/improving-health-protection-of-military-personnel-participating-in-particular-military-operations,https://www.govinfo.gov/content/pkg/FR-1999-10-05/pdf/99-26078.pdf,Presidential Document,Executive Order,10/05/1999,09/30/1999,54175,Improving Health Protection of Military Personnel Participating in Particular Military Operations,"See: Food and Drug Administration rule of May 25, 1999 (64 FR 54180)",13139
64 FR 53879, 99-25958,53881,https://www.federalregister.gov/documents/1999/10/04/99-25958/continuance-of-certain-federal-advisory-committees,https://www.govinfo.gov/content/pkg/FR-1999-10-04/pdf/99-25958.pdf,Presidential Document,Executive Order,10/04/1999,09/30/1999,53879,Continuance of Certain Federal Advisory Committees,"Amends: EO 12131, May 4, 1979; EO 12345, February 2, 1982; EO 12367, June 15, 1982; EO 13115, March 25, 1999;;
 ;  Supersedes: EO 13062, September 29, 1997 (in part);;
 ;  Revokes: EO 12852, June 29, 1993; EO 12961, May 26, 1995; EO 13010, July 15, 1996, (in part); EO 13017, September 5, 1996; EO 13037, March 3, 1997; EO 13038, March 11, 1997; EO 13050, June 13, 1997;;
 ;  Superseded by: EO 13225, September 28, 2001 (in part);;
 ;  Revoked by: EO 13226, September 30, 2001 (in part)",13138
64 FR 50733, 99-24582,50733,https://www.federalregister.gov/documents/1999/09/20/99-24582/amendment-to-executive-order-12975-as-amended-national-bioethics-advisory-commission,https://www.govinfo.gov/content/pkg/FR-1999-09-20/pdf/99-24582.pdf,Presidential Document,Executive Order,09/20/1999,09/15/1999,50733,"Amendment to Executive Order 12975, as Amended, National Bioethics Advisory Commission","Amends: EO 12975, October 3, 1995;;
 ;  See: EO 13316, September 17, 2003",13137
64 FR 48931, 99-23508,48931,https://www.federalregister.gov/documents/1999/09/08/99-23508/amendment-to-executive-order-13090-presidents-commission-on-the-celebration-of-women-in-american,https://www.govinfo.gov/content/pkg/FR-1999-09-08/pdf/99-23508.pdf,Presidential Document,Executive Order,09/08/1999,09/03/1999,48931,"Amendment to Executive Order 13090, President's Commission on the Celebration of Women in American History","Amends: EO 13090, June 29, 1998",13136
64 FR 47339, 99-22778,47339,https://www.federalregister.gov/documents/1999/08/31/99-22778/amendment-to-executive-order-12216-presidents-committee-on-the-international-labor-organization,https://www.govinfo.gov/content/pkg/FR-1999-08-31/pdf/99-22778.pdf,Presidential Document,Executive Order,08/31/1999,08/27/1999,47339,"Amendment to Executive Order 12216, President's Committee on the International Labor Organization","Amends: EO 12216, June 18, 1980",13135
64 FR 44639, 99-21392,44642,https://www.federalregister.gov/documents/1999/08/16/99-21392/developing-and-promoting-biobased-products-and-bioenergy,https://www.govinfo.gov/content/pkg/FR-1999-08-16/pdf/99-21392.pdf,Presidential Document,Executive Order,08/16/1999,08/12/1999,44639,Developing and Promoting Biobased Products and Bioenergy,"Revoked by: EO 13225, September 28, 2001 (in part); EO 13423, January 24, 2007;;
 ;  See: EO 13148, April 21, 2000",13134
64 FR 43895, 99-20924,43896,https://www.federalregister.gov/documents/1999/08/11/99-20924/working-group-on-unlawful-conduct-on-the-internet,https://www.govinfo.gov/content/pkg/FR-1999-08-11/pdf/99-20924.pdf,Presidential Document,Executive Order,08/11/1999,08/05/1999,43895,Working Group on Unlawful Conduct on the Internet,"Amended by: EO 13286, February 28, 2003",13133
64 FR 43255, 99-20729,43259,https://www.federalregister.gov/documents/1999/08/10/99-20729/federalism,https://www.govinfo.gov/content/pkg/FR-1999-08-10/pdf/99-20729.pdf,Presidential Document,Executive Order,08/10/1999,08/04/1999,43255,Federalism,"Revokes: EO 12612, October 26, 1987; EO 12875, October 26, 1993; EO 13083, May 14, 1998; EO 13095, August 5, 1998;;
 ;  Supplements: EO 12372, July 14, 1982; EO 12866, September 30, 1993; EO 12988, February 5, 1996;;
 ;  See: EO 13175, November 6, 2000",13132
64 FR 40733, 99-19396,40734,https://www.federalregister.gov/documents/1999/07/27/99-19396/further-amendments-to-executive-order-12757-implementation-of-the-enterprise-for-the-americas,https://www.govinfo.gov/content/pkg/FR-1999-07-27/pdf/99-19396.pdf,Presidential Document,Executive Order,07/27/1999,07/22/1999,40733,"Further Amendments to Executive Order 12757, Implementation of the Enterprise for the Americas Initiative","Amends: EO 12757, March 19, 1991;;
 ;  See: EO 12823, December 3, 1992; EO 13028, December 3, 1996;;
 ;  Revoked by: EO 13345, July 8, 2004",13131
64 FR 38535, 99-18476,38536,https://www.federalregister.gov/documents/1999/07/19/99-18476/national-infrastructure-assurance-council,https://www.govinfo.gov/content/pkg/FR-1999-07-19/pdf/99-18476.pdf,Presidential Document,Executive Order,07/19/1999,07/14/1999,38535,National Infrastructure Assurance Council,"Revoked by: EO 13231, October 16, 2001;;
 ;  See: EO 13010, July 15, 1996; EO 13286, February 28, 2003",13130
64 FR 36759, 99-17444,36761,https://www.federalregister.gov/documents/1999/07/07/99-17444/blocking-property-and-prohibiting-transactions-with-the-taliban,https://www.govinfo.gov/content/pkg/FR-1999-07-07/pdf/99-17444.pdf,Presidential Document,Executive Order,07/07/1999,07/04/1999,36759,Blocking Property and Prohibiting Transactions With the Taliban,"See: EO 13268, July 2, 2002",13129
64 FR 34703, 99-16634,34704,https://www.federalregister.gov/documents/1999/06/28/99-16634/implementation-of-the-chemical-weapons-convention-and-the-chemical-weapons-convention-implementation,https://www.govinfo.gov/content/pkg/FR-1999-06-28/pdf/99-16634.pdf,Presidential Document,Executive Order,06/28/1999,06/25/1999,34703,Implementation of the Chemical Weapons Convention and the Chemical Weapons Convention Implementation Act,"Amends: EO 12938, November 14, 1994",13128
64 FR 32793, 99-15623,32793,https://www.federalregister.gov/documents/1999/06/17/99-15623/amendment-to-executive-order-13073-year-2000-conversion,https://www.govinfo.gov/content/pkg/FR-1999-06-17/pdf/99-15623.pdf,Presidential Document,Executive Order,06/17/1999,06/14/1999,32793,"Amendment to Executive Order 13073, Year 2000 Conversion","Amends: EO 13073, February 4, 1998",13127
64 FR 32383, 99-15491,32385,https://www.federalregister.gov/documents/1999/06/16/99-15491/prohibition-of-acquisition-of-products-produced-by-forced-or-indentured-child-labor,https://www.govinfo.gov/content/pkg/FR-1999-06-16/pdf/99-15491.pdf,Presidential Document,Executive Order,06/16/1999,06/12/1999,32383,Prohibition of Acquisition of Products Produced by Forced or Indentured Child Labor,"",13126
64 FR 31105, 99-14901,31107,https://www.federalregister.gov/documents/1999/06/10/99-14901/increasing-participation-of-asian-americans-and-pacific-islanders-in-federal-programs,https://www.govinfo.gov/content/pkg/FR-1999-06-10/pdf/99-14901.pdf,Presidential Document,Executive Order,06/10/1999,06/07/1999,31105,Increasing Participation of Asian Americans and Pacific Islanders in Federal Programs,"Amended by: EO 13216, June 6, 2001;;
 ;  Superseded by: EO 13515, October 14, 2009",13125
64 FR 31103, 99-14825,31104,https://www.federalregister.gov/documents/1999/06/09/99-14825/amending-the-civil-service-rules-relating-to-federal-employees-with-psychiatric-disabilities,https://www.govinfo.gov/content/pkg/FR-1999-06-09/pdf/99-14825.pdf,Presidential Document,Executive Order,06/09/1999,06/04/1999,31103,Amending the Civil Service Rules Relating To Federal Employees With Psychiatric Disabilities,"",13124
64 FR 30851, 99-14633,30860,https://www.federalregister.gov/documents/1999/06/08/99-14633/greening-the-government-through-efficient-energy-management,https://www.govinfo.gov/content/pkg/FR-1999-06-08/pdf/99-14633.pdf,Presidential Document,Executive Order,06/08/1999,06/03/1999,30851,Greening the Government Through Efficient Energy Management,"Revokes: EO 12759, April 17, 1991; EO 12845, April 21, 1993; EO 12902, March 9, 1994;;
 ;  Revoked by: EO 13423, January 24, 2007;;
 ;  See: EO 13148, April 21, 2000",13123
64 FR 29201, 99-13825,29202,https://www.federalregister.gov/documents/1999/05/28/99-13825/interagency-task-force-on-the-economic-development-of-the-southwest-border,https://www.govinfo.gov/content/pkg/FR-1999-05-28/pdf/99-13825.pdf,Presidential Document,Executive Order,05/28/1999,05/25/1999,29201,Interagency Task Force on the Economic Development of the Southwest Border,"Amended by: EO 13284, January 23, 2003",13122
64 FR 24021, 99-11410,24022,https://www.federalregister.gov/documents/1999/05/05/99-11410/blocking-property-of-the-governments-of-the-federal-republic-of-yugoslavia-serbia-and-montenegro-the,https://www.govinfo.gov/content/pkg/FR-1999-05-05/pdf/99-11410.pdf,Presidential Document,Executive Order,05/05/1999,04/30/1999,24021,"Blocking Property of the Governments of the Federal Republic of Yugoslavia (Serbia and Montenegro), the Republic of Serbia, and the Republic of Montenegro, and Prohibiting Trade Transactions Involving the Federal Republic of Yugoslavia (Serbia and Montenegro) in Response to the Situation in Kosovo","Amends: EO 13088, June 9, 1998;;
 ;  See: Notice of May 25, 2000; EO 13192, January 17, 2001; Notice of May 24, 2001;;
 ;  Revoked by: EO 13304, May 28, 2003",13121
64 FR 23007, 99-10901,23007,https://www.federalregister.gov/documents/1999/04/29/99-10901/ordering-the-selected-reserve-and-certain-individual-ready-reserve-members-of-the-armed-forces-to,https://www.govinfo.gov/content/pkg/FR-1999-04-29/pdf/99-10901.pdf,Presidential Document,Executive Order,04/29/1999,04/27/1999,23007,Ordering the Selected Reserve and Certain Individual Ready Reserve Members of the Armed Forces to Active Duty,"Amended by: EO 13286, February 28, 2003",13120
64 FR 18797, 99-9738,18797,https://www.federalregister.gov/documents/1999/04/16/99-9738/designation-of-federal-republic-of-yugoslavia-serbiamontenegro-albania-the-airspace-above-and,https://www.govinfo.gov/content/pkg/FR-1999-04-16/pdf/99-9738.pdf,Presidential Document,Executive Order,04/16/1999,04/13/1999,18797,"Designation of Federal Republic of Yugoslavia (Serbia/Montenegro), Albania, the Airspace Above, and Adjacent Waters as a Combat Zone","",13119
64 FR 16333, 99-8433,16335,https://www.federalregister.gov/documents/1999/04/05/99-8433/identification-of-trade-expansion-priorities-and-discriminatory-procurement-practices,https://www.govinfo.gov/content/pkg/FR-1999-04-05/pdf/99-8433.pdf,Presidential Document,Executive Order,04/05/1999,03/31/1999,16333,Identification of Trade Expansion Priorities and Discriminatory Procurement Practices,"",13116
64 FR 16591, 99-8509,16591,https://www.federalregister.gov/documents/1999/04/05/99-8509/further-amendment-to-executive-order-12981-as-amended,https://www.govinfo.gov/content/pkg/FR-1999-04-05/pdf/99-8509.pdf,Presidential Document,Executive Order,04/05/1999,03/31/1999,16591,"Further Amendment to Executive Order 12981, as Amended","Amends: EO 12981, December 5, 1995;;
 ;  Note: This Executive order amends the administration of export controls",13117
64 FR 16595, 99-8547,16599,https://www.federalregister.gov/documents/1999/04/05/99-8547/implementation-of-the-foreign-affairs-reform-and-restructuring-act-of-1998,https://www.govinfo.gov/content/pkg/FR-1999-04-05/pdf/99-8547.pdf,Presidential Document,Executive Order,04/05/1999,03/31/1999,16595,Implementation of the Foreign Affairs Reform and Restructuring Act of 1998,"Amends: EO 11223 of May 12, 1965; EO 11269 of February 14, 1966; EO 11958 of January 18, 1977; EO 12163 of September 29, 1979; EO 12188 of January 2, 1980; EO 12260 of December 31, 1980; EO 12293 of February 23, 1981; EO 12301 of March 26, 1981; EO 12703 of February 20, 1990; EO 12884 of December 1, 1993; Memorandum of March 23, 1999;;
 ;  Revokes: EO 12599 of June 23, 1987",13118
64 FR 15283, 99-7999,15284,https://www.federalregister.gov/documents/1999/03/30/99-7999/interagency-task-force-on-the-roles-and-missions-of-the-united-states-coast-guard,https://www.govinfo.gov/content/pkg/FR-1999-03-30/pdf/99-7999.pdf,Presidential Document,Executive Order,03/30/1999,03/25/1999,15283,Interagency Task Force on the Roles and Missions of the United States Coast Guard,"Amended by: EO 13138, September 30, 1999",13115
64 FR 10099, 99-5164,10099,https://www.federalregister.gov/documents/1999/03/01/99-5164/further-amendment-to-executive-order-12852-as-amended-extending-the-presidents-council-on,https://www.govinfo.gov/content/pkg/FR-1999-03-01/pdf/99-5164.pdf,Presidential Document,Executive Order,03/01/1999,02/28/1999,10099,"Further Amendment to Executive Order 12852, as Amended, Extending the President's Council on Sustainable Development","Amends: EO 12852, June 29, 1993;;
 ;  Note: EO 13114 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999.",13114
64 FR 7489, 99-3832,7489,https://www.federalregister.gov/documents/1999/02/16/99-3832/presidents-information-technology-advisory-committee-further-amendments-to-executive-order-13035-as,https://www.govinfo.gov/content/pkg/FR-1999-02-16/pdf/99-3832.pdf,Presidential Document,Executive Order,02/16/1999,02/10/1999,7489,"President's Information Technology Advisory Committee, Further Amendments to Executive Order 13035, as Amended","Amends: EO 13035, February 11, 1997;;
 ;  See: EO 13200, February 11, 2001; EO 13215, May 31, 2001",13113
64 FR 6183, 99-3184,6186,https://www.federalregister.gov/documents/1999/02/08/99-3184/invasive-species,https://www.govinfo.gov/content/pkg/FR-1999-02-08/pdf/99-3184.pdf,Presidential Document,Executive Order,02/08/1999,02/03/1999,6183,Invasive Species,"Amended by: EO 13286, February 28, 2003;  EO 13751, December 5, 2016
Continued by: EO 13708, September 30, 2015; EO 13811, September 29, 2017
Revokes: EO 11987, May 24, 1977",13112
64 FR 2793, 99-1185,2797,https://www.federalregister.gov/documents/1999/01/15/99-1185/using-technology-to-improve-training-opportunities-for-federal-government-employees,https://www.govinfo.gov/content/pkg/FR-1999-01-15/pdf/99-1185.pdf,Presidential Document,Executive Order,01/15/1999,01/12/1999,2793,Using Technology To Improve Training Opportunities for Federal Government Employees,"Amended by: EO 13188, January 12, 2001; EEO 13218, June 20, 2001;;
 ;  Revoked (in part) by: EO 13316, September 17, 2003",13111
64 FR 2419, 99-980,2419,https://www.federalregister.gov/documents/1999/01/14/99-980/nazi-war-criminal-records-interagency-working-group,https://www.govinfo.gov/content/pkg/FR-1999-01-14/pdf/99-980.pdf,Presidential Document,Executive Order,01/14/1999,01/11/1999,2419,Nazi War Criminal Records Interagency Working Group,"",13110
63 FR 70631, 98-34034,70631,https://www.federalregister.gov/documents/1998/12/22/98-34034/half-day-closing-of-executive-departments-and-agencies-of-the-federal-government-on-thursday,https://www.govinfo.gov/content/pkg/FR-1998-12-22/pdf/98-34034.pdf,Presidential Document,Executive Order,12/22/1998,12/17/1998,70631,"Half-Day Closing of Executive Departments and Agencies of the Federal Government on Thursday, December 24, 1998","",13109
63 FR 68991, 98-33348,68993,https://www.federalregister.gov/documents/1998/12/15/98-33348/implementation-of-human-rights-treaties,https://www.govinfo.gov/content/pkg/FR-1998-12-15/pdf/98-33348.pdf,Presidential Document,Executive Order,12/15/1998,12/10/1998,68991,Implementation of Human Rights Treaties,"",13107
63 FR 69175, 98-33382,69175,https://www.federalregister.gov/documents/1998/12/15/98-33382/further-amendment-to-executive-order-13037-commission-to-study-capital-budgeting,https://www.govinfo.gov/content/pkg/FR-1998-12-15/pdf/98-33382.pdf,Presidential Document,Executive Order,12/15/1998,12/11/1998,69175,"Further Amendment to Executive Order 13037, Commission To Study Capital Budgeting","Amends: EO 13037, March 3, 1997;;
 ;  Note: EO 13108 is nullified by virtue of the Commission being abolished by EO 13138, September 30, 1999.",13108
63 FR 68151, 98-32953,68160,https://www.federalregister.gov/documents/1998/12/09/98-32953/adjustments-of-certain-rates-of-pay-and-delegation-of-a-federal-pay-administration-authority,https://www.govinfo.gov/content/pkg/FR-1998-12-09/pdf/98-32953.pdf,Presidential Document,Executive Order,12/09/1998,12/07/1998,68151,Adjustments of Certain Rates of Pay and Delegation of a Federal Pay Administration Authority,"Amends: EO 12748, February 1, 1991;;
 ;  Supersedes: EO 13071, December 29, 1997;;
 ;  Superseded by: EO 13144, December 21, 1999 (in part)",13106
63 FR 60201, 98-30054,60201,https://www.federalregister.gov/documents/1998/11/06/98-30054/open-enrollment-season-for-participants-in-the-foreign-service-retirement-and-disability-system-and,https://www.govinfo.gov/content/pkg/FR-1998-11-06/pdf/98-30054.pdf,Presidential Document,Executive Order,11/06/1998,11/02/1998,60201,Open Enrollment Season for Participants in the Foreign Service Retirement and Disability System and the Central Intelligence Agency Retirement and Disability System,"",13105
63 FR 56535, 98-28471,56535,https://www.federalregister.gov/documents/1998/10/22/98-28471/amendment-to-executive-order-13021-tribal-colleges-and-universities,https://www.govinfo.gov/content/pkg/FR-1998-10-22/pdf/98-28471.pdf,Presidential Document,Executive Order,10/22/1998,10/19/1998,56535,"Amendment to Executive Order 13021, Tribal Colleges and Universities","Amends: EO 13021, October 19, 1996",13104
63 FR 53273, 98-26799,53274,https://www.federalregister.gov/documents/1998/10/05/98-26799/computer-software-piracy,https://www.govinfo.gov/content/pkg/FR-1998-10-05/pdf/98-26799.pdf,Presidential Document,Executive Order,10/05/1998,09/30/1998,53273,Computer Software Piracy,"See: EO 13011, July 16, 1996",13103
